Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148W-7-F,D_SOD-123,-68.719700,-169.061400,-90.000000,bottom
D2,1N4148W-7-F,D_SOD-123,-88.769700,-169.061400,-90.000000,bottom
D3,1N4148W-7-F,D_SOD-123,-108.819700,-169.061400,-90.000000,bottom
D4,1N4148W-7-F,D_SOD-123,-128.869700,-169.061400,-90.000000,bottom
D5,1N4148W-7-F,D_SOD-123,-148.919700,-169.061400,-90.000000,bottom
D6,1N4148W-7-F,D_SOD-123,-68.719700,-189.111400,-90.000000,bottom
D7,1N4148W-7-F,D_SOD-123,-88.769700,-189.111400,-90.000000,bottom
D8,1N4148W-7-F,D_SOD-123,-108.819700,-189.111400,-90.000000,bottom
D9,1N4148W-7-F,D_SOD-123,-128.869700,-189.111400,-90.000000,bottom
D10,1N4148W-7-F,D_SOD-123,-148.919700,-189.111400,-90.000000,bottom
D11,1N4148W-7-F,D_SOD-123,-68.719700,-209.161400,-90.000000,bottom
D12,1N4148W-7-F,D_SOD-123,-88.769700,-209.161400,-90.000000,bottom
D13,1N4148W-7-F,D_SOD-123,-108.819700,-209.161400,-90.000000,bottom
D14,1N4148W-7-F,D_SOD-123,-128.869700,-209.161400,-90.000000,bottom
D15,1N4148W-7-F,D_SOD-123,-148.919700,-209.161400,-90.000000,bottom
D16,1N4148W-7-F,D_SOD-123,-68.719700,-229.211400,-90.000000,bottom
D17,1N4148W-7-F,D_SOD-123,-88.769700,-229.211400,-90.000000,bottom
D18,1N4148W-7-F,D_SOD-123,-108.819700,-229.211400,-90.000000,bottom
D19,1N4148W-7-F,D_SOD-123,-128.869700,-229.211400,-90.000000,bottom
D20,1N4148W-7-F,D_SOD-123,-148.919700,-229.211400,-90.000000,bottom
D21,1N4148W-7-F,D_SOD-123,-68.719700,-249.261400,-90.000000,bottom
D22,1N4148W-7-F,D_SOD-123,-88.769700,-249.261400,-90.000000,bottom
D23,1N4148W-7-F,D_SOD-123,-108.819700,-249.261400,-90.000000,bottom
D24,1N4148W-7-F,D_SOD-123,-128.869700,-249.261400,-90.000000,bottom
D25,1N4148W-7-F,D_SOD-123,-148.919700,-249.261400,-90.000000,bottom
